0,Author Name,Description,Photo
1,Pankaj Jain,"🎓 Academic and Educational Background
i) Bachelor’s Degree: B.E. in Computer Science, Karnataka University, 1992.
ii) Initial Teaching: Taught at M.B.M. Engineering College, Jodhpur after graduation.
iii) Move to the US: Relocated to the United States in 1996.
iv) Graduate Studies:
a) M.A. in Indian Religions, Columbia University, 2002.
b) Ph.D. in Indian Religions and Ecology, University of Iowa, 2008.

📚 Teaching and Academic Positions
i) Rutgers University (2007): Taught Sanskrit, Hindi, and Hinduism.
ii) North Carolina State University (2008–2010): Taught Indian languages.
iii) University of North Texas (2010 onwards):
a) Served in the Department of Philosophy and Religion and the Department of Anthropology.
b) Member of various university advisory and academic boards.

iv) FLAME University:
a) Current Role: Head of Department (HoD), Humanities and Languages.
b) Director: The India Centre.
c) Led initiatives to promote Indian culture and scholarship.
d) Convened the first Indic Studies Conference with the Indian Institute of Advanced Study (May 2021).

✍️ Publications and Editorial Roles
i) Books Authored (5 in total):
a) Dharma and Ecology of Hindu Communities: Sustenance and Sustainability (2011)
b) Won Uberoi Book Award (2011) and DANAM Book Award (2012).
ii) Dharma in America: A Short History of Hindu-Jain Diaspora (Routledge, 2019).
iii) Currently working on Makers of Modern Jainism.
iv) Translating Jain Darshan, a significant philosophical text.

v) Editorial Work:
a) Co-edited Hinduism Section of the Encyclopedia of Indian Religions.
b) Co-editing the Encyclopedia of Hinduism (Springer).
c) Editing a volume on Indian and Western Philosophical Concepts in Religion.

📝 Research and Writing
i) Research Interests:
a) Sustainability in religious communities.
b) Religion and ecology (India and U.S.).
c) Diaspora studies and ancient practices in contemporary contexts.

ii) Academic Journals:
Published in Religious Studies Review, Worldviews, Religion Compass, Journal of Vaishnava Studies, Union Seminary Quarterly Review, Journal of Visual Anthropology, Zygon, etc.

iii) Popular Writing:
Contributor to Huffington Post, Washington Post’s On Faith, Times of India’s Speaking Tree, and Patheos.

iv) Research Funding:
a) Fulbright Fellowship.
b) Charn Uswachoke International Development Fund.
c) Wenner-Gren Grant.

🌏 Environmental and Interfaith Initiatives
i) GreenFaith: First Hindu-Jain scholar-in-residence.
ii) Sustainability Work:
a) Helped two Dallas temples receive energy efficiency grants.
b) Guided a graduate student to design an environmental curriculum for a Jain Sunday School in Dallas.

iii) Affiliations:
a) Research affiliate, Harvard’s Pluralism Project.
b) Board member, Society for Hindu Christian Studies.
c) India Representative, International Society for Environmental Ethics.
d) Member, Academic Council, International School for Jain Studies.
e) Board Member, Hindu American Seva Communities (connected with White House faith-based initiatives).
f) Advisory Council, Osher Lifelong Learning Institute at UNT.

🌍 Global Outreach and Presentations
Invited Speaker at numerous institutions:
Columbia University, UMass Dartmouth, Univ. of South Florida, Florida International University, University of Toledo, Texas Christian University, High Point University, Portland State University, Lancaster University (UK), Andhra University, University of Rajasthan, etc.

Media Features:
Frequently quoted or interviewed by BBC, NBC, Fox News, LA Times, National Geographic Channel, History Channel, The Hindu, Times of India, Indian Express, Dallas Morning News, India Abroad, and more.

Other Engagements:
Presented research at conferences, high schools, churches, temples, yoga centers, radio and TV stations, and community forums across India, the US, and the UK.",
2,Ellen Gough,"👩‍🏫 Current Position
i) Assistant Professor, Department of Religion, Emory University.
ii) Member of the American Academy of Religion, serving on the steering committees for the Jainism and Tantric Studies units.

🎓 Educational Background
i) Ph.D. in Asian Religions, Yale University, 2015.
ii) M.A. in Study of Religion, School of Oriental and African Studies (SOAS), University of London, 2008.
iii) B.A. in Religious Studies, University of Wisconsin–Madison, 2006.

🔬 Research Approach and Interests
Specializes in South Asian religions, especially Jainism.

i) Combines:
a) Study of Gujarati, Hindi, Sanskrit, and Prakrit texts.
b) Analysis of material culture.
c) Fieldwork for an ethno-historical approach.

ii) Key research themes:
a) Ritual, sacred space, and narratives.
b) Material culture, Tantra, and Indian art and architecture.
c) Jain astrology and Digambara Jain festivals.
d) Religious identity in India, particularly the distinction between Jain and Hindu identities.

📚 Publications
Book:
i) Making a Mantra: Tantric Ritual and Renunciation on the Jain Path to Liberation (University of Chicago Press, 2021).
a) Follows the life of a Jain mantra from its origin in the early first millennium, through medieval tantric initiations and meditation practices, to its modern use in healing rituals.
b) Part of the Class 200: New Studies in Religion series.
ii) Additional research publications and articles are available through institutional and academic repositories.

✈️ Fellowships and Projects
i) Fulbright-Nehru Senior Research Fellowship (2020):
a) Conducted nine months of research in Mumbai on Jain festivals for a new book project:
b) What Makes a Jain Not a Hindu? Religious Identity and the Indian Festival Calendar.
ii) Ongoing research project on Jain astrology.

🏆 Teaching and Recognition
i) Teaching Philosophy: Passionate about both undergraduate and graduate teaching.
ii) Award:
a) Crystal Apple Award (2016) for excellence in undergraduate teaching at Emory University.
iii) Curated Exhibits (with undergraduate students) at Emory’s Michael C. Carlos Museum:
a) Tell the Whole Story from Beginning to End: The Ramayana in Indian Painting (2018).
b) The Avatars of Vishnu (2021).

📘 Courses Taught

i) Undergraduate Courses
i) Religion in the News
ii) Jainism: Religion of Nonviolence
iii) Is Yoga Religious?
iv) Violence, Nonviolence, and Religion: From India to Atlanta
v) The Religious Art of South Asia

ii) Graduate Courses
i) Religion and Material Culture
ii) Tantric Traditions
iii) The Purāṇas
iv) Hinduism and the Senses",
3,Dr. Sarah Hadmack,"🎓 Academic & Teaching Role
i) Since 2006, Dr. Sarah Hadmack has served as a Lecturer in the Religion Department at the University of Hawaiʻi at Mānoa .
ii) She earned her M.A. in Religion from the University of Hawaiʻi at Mānoa in 2005.
iii) Additionally, she teaches at Windward Community College (WCC), where she is an Associate Professor of Religion, known especially for courses like Science Fiction & Religion and independent studies on Jainism. 

🌱 Jain Studies & ISSJS Involvement
i) She is a member of the Academic Council of the International School for Jain Studies (ISSJS). 
ii) Hadmack was among the first group of graduate students selected for the ISSJS Summer School in 2005, which was held across multiple sites in India, including Delhi, Jaipur, Ladnun, and Indore. 
iii) She was invited to return for the ISSJS 2007 program to continue research on Jainism in India. 

🌏 Field Research: Parshwanath Vidyapeeth, Varanasi
i) Her India research was carried out at the prestigious Parshwanath Vidyapeeth in Varanasi, under a fully funded invitation. Parshwanath Vidyapeeth is recognized by Banaras Hindu University as a major center for Jainological research, producing dozens of PhDs and housing over 30,000 books and original manuscripts. 
ii) At this institution, Hadmack presented on Jainism and ecology, exploring the scriptural relationship between nature and humanity. 

🧪 Research & Teaching Interests
i) Her scholarship includes religion and ecology, particularly in Jain thought and texts.
ii) She has coordinated independent-study courses on Jainism, guiding students at the University of Hawaiʻi and WCC. 
iii) She regularly leads interdisciplinary courses, such as REL 296: Science Fiction and Religion, which compares religious motifs with contemporary mythic storytelling.

🧑‍🎓 Student Engagement & Reputation
Students rate her highly on platforms like Rate My Professors, praising her accessible teaching style and approachability. One student commented, “Sarah is an amazing teacher! … Best Teacher ever!”; overall rating: 4.6/5.

Dr. Sarah Hadmack – Key Profile Highlights
Position: Lecturer in the Religion Department, University of Hawaiʻi at Mānoa since 2006.

Degree: Completed M.A. in Religion from the University of Hawaiʻi at Mānoa in 2005.

Additional Teaching Role:
i) Serves as Associate Professor of Religion/Humanities at Windward Community College (WCC).
ii) Teaches REL courses, including independent studies on Jainism.

ISSJS Involvement:
i) Active Academic Council Member of the International School for Jain Studies (ISSJS).
ii) Participated in ISSJS Summer Schools in 2005 and 2007.

Jain Research Location:
i) Conducted field research at Parshwanath Vidyapeeth, Varanasi, India.
ii) The institute is recognized by Banaras Hindu University (BHU) for Jainological studies.

Areas of Focus: Specializes in Jainism, religion & ecology, textual studies, environmental humanities, and interdisciplinary religious education.

Course Highlights:
i) REL 296: Science Fiction & Religion
ii) REL 199: Independent Study – Jainism

Teaching Recognition:
i) Highly rated by students with an average score of approximately 4.6/5.
ii) Praised for clarity, engagement, and student supportiveness.",
4,Professor Satya Ranjan Banerjee,"🧒 Early Life and Education
i) Born in Umedpur, a village in Faridpur District, Dhaka division (now in Bangladesh).
ii) Moved to Calcutta (Kolkata) at an early age with his family and began his school education there.
iii) Earned B.A. (Hons.) in Sanskrit from University of Calcutta in 1952.
iv) Completed M.A. in Sanskrit with specialization in Prakrit, including Pāli, Apabhraṃśa, and Inscriptional Prakrits in 1954.
v) Obtained a second M.A. in Comparative Philology from University of Calcutta, focusing on Indo-European languages (Avestan, Old Persian, Greek).
vi) First Ph.D. from Department of Comparative Philology, Calcutta University in 1964: Eastern School of Prakrit Grammarians.
vii) Second Ph.D. from University of Edinburgh in 1972: Comparative Study of Greek and Indian Perfect Tenses (esp. Homeric Greek).
viii) Studied Descriptive, Structural, and Generative-Transformational Linguistics before his Edinburgh doctorate.
ix) Recognized in the traditional Indian system of Sanskrit studies:
a) Earned Madhyamā title in Pāṇinian Grammar and Kāvya Literature from the Board of the Sanskrit Association, Govt. of West Bengal.

🎓 Academic Positions and Teaching Career
i) Taught Sanskrit in local Sanskrit colleges, University of Calcutta, and Jadavpur University.
ii) From 1970–72, taught Sanskrit at:
a) University of Edinburgh.
b) School of African and Oriental Studies (SOAS), University of London.
iii) From 1972–75, taught at the Institute of Languages, London.
iv) Joined Department of Linguistics, University of Calcutta in 1975, taught until 1998.
v) Also taught Sanskrit, Bengali, and French in various departments.

🌍 International Academic Engagement
i) Visiting Professor at University of Wisconsin-Madison, USA (1978).
ii) Delivered numerous invited lectures and attended academic conferences across India, Europe, North America, and Latin America.
iii) In 1980, invited by Swiss National Foundation for Scientific Research to work on Indo-Greek Lexicon in Bern (Switzerland) and Athens (Greece).

📚 Publications and Scholarly Output
Authored over 80 books and more than 400 research articles published globally.

A) Notable books:
i) The Eastern School of Prakrit Grammarians (1977)
ii) Kramadīśvara's Prākṛtādhyāya (edition, 1980)
iii) Indo-European Tense and Aspect in Greek and Sanskrit (1983)
iv) Mṛcchakaṭika or the Toy-Cart of King Śūdraka – A Study (1984)
v) A Handbook of Sanskrit Philology (1987, 2000)
vi) Narrative Tales in Jaina Literature (2008)

B) Contributions to edited volumes:
i) Edition of Paspaśā-āhnika of Patañjali’s Mahābhāṣya (1998)
ii) Albrecht Weber's Sacred Literatures of the Jainas (with G. Lalwani, 1999)
iii) The Aṣṭādhyāyī of Pāṇini (2003)
iv) Siddhānta-kaumudī of Bhaṭṭoji Dīkṣita (2005)
v) Mārkaṇḍeya’s Prākṛta-sarvasva (2007)
vi) Abhidhāna-cintāmaṇi of Hemacandra (2010)

C) Works in progress or in press:
i) A Handbook of the New Indo-Aryan Philology
ii) Prakrit Textual Criticism
iii) A Handbook of Prakrit Grammar
iv) Prakrit Chrestomathy
v) Linguistic Studies in Sanskrit Grammar

🏅 Awards and Recognitions
i) Received numerous prestigious awards:
a) Ācārya Vidyāsāgar Sāhitya Puraskār (1982)
b) Ācārya Sukumar Sen Puraskār (1998)
c) Ācārya Hemacandrasūri Puraskār (2000)

ii) Certificate of Honour from the President of India (2002).
iii) Associate Member, Centre of Jaina Studies, SOAS, University of London (2006).
iv) Additional Jain awards:
a) Ācārya Tulsī Prakrit Puraskār (2006)
b) Prakrit Jñānabhāratī Puraskār (2016).
v) Honoured as Prākṛta Vidyā-Maṇīṣī by Jain Vishva Bharati, Ladnun (1990).
vi) Awarded D.Litt. (Honoris causa) by Rabindra Bharati University, Kolkata (2010).

🧠 Intellectual Influences
Frequently cited influences:
i) Prof. Suniti Kumar Chatterjee
ii) Prof. Kshitish Chandra Chatterjee
iii) Prof. Prabhat Mukherjee (most frequently quoted)
iv) A.N. Upadhye and Hiralal Jain (in Prakrit and Jain Studies)

👨‍🏫 Teaching Style and Personality
i) Known affectionately as ""Sir"" by his students.
ii) Had deep empathy for students and keen insight into student psychology.
iii) Lectures anticipated and addressed student questions intuitively.
iv) Lifelong bachelor who devoted his life fully to teaching and research.

📖 Legacy and Remembrance
i) A detailed account of his life and contributions preserved in two Festschriften:
a) Studia Indologica (2007)
b) Indological Essays (2014)
ii) Even in later years with restricted mobility, he continued to write and attend local academic events.
iii) Passed away peacefully, having made a monumental contribution to Indological and linguistic scholarship.
iv) Remains a revered figure in the hearts of students and scholars of Indology.",
5,Dr Adinath Neminath Upadhye,"📅 Birth and Early Life
i) Born on 6 February 1906 in Sadalga, Chikkodi Taluka, Belgaum District, Karnataka.
ii) Came from a Jaina priestly family (Upadhyaya tradition).
iii) Received his primary education in Kannada from his parents.

🎓 Education
i) Completed primary education in Sadalaga.
ii) Attended Gilginchi Artal High School, Belgaum, for secondary education.
iii) Graduated with a B.A. (Hons.) in Sanskrit and Prakrit from Bombay University.
iv) Pursued Postgraduate studies at the Bhandarkar Oriental Research Institute, Pune.
v) Obtained M.A. in Sanskrit and Prakrit from Bombay University in 1930.

👨‍🏫 Academic and Professional Career
i) Began career in 1930 as Lecturer in Prakrit at Rajaram College, Kolhapur.
ii) Served 32 years at Rajaram College (1930–1962).
iii) Earned D.Litt. from Bombay University in 1939.
iv) Held the position of Springer Research Scholar at Bombay University from 1939 to 1942.
v) Retired from Rajaram College in 1962.

🏛 Work at Shivaji University
i) Joined Shivaji University in 1962 as Professor Emeritus.
ii) Served until 1971.
iii) Also served as Dean of the Arts Department.
iv) Collaborated closely with Dr. A.G. Pawar, Vice-Chancellor of Shivaji University.
v) Played a key role in laying the foundation for the newly formed Shivaji University.

🎓 Contribution to University of Mysore
i) In 1971, became the founding professor and Head of the Jaina Chair, University of Mysore.
ii) Instrumental in establishing the postgraduate Department of Jainalogy and Prakrit at the university.

🏆 Honours and Recognition
i) Recognized nationally and internationally as a leading scholar in Prakrit and Jainology.
ii) Elected President of the 46th Kannada Sahitya Sammelana held at Shravanabelagola in 1967.
iii) His life and work were commemorated in the Marathi book ""Charitra Tyanche Paha Jara"".

🕯 Final Years and Death
i) Retired from University of Mysore shortly before his death.
ii) Passed away due to a heart attack on 8 October 1975 at his residence in Kolhapur.",
6,Prof . A Chakravarti Nayanar,"1) Prof . A Chakravarti Nayanar (1880-1960) passed his M.A. with distinction, in 1905, from the Christian College,  Madras, and took his L.T. in 1909 from the Teacher  Collage, Madras. For a year or two he worked as a teacher in the Wesley Girl’s School and as a clerk in the Accountant General’s office Madras In 1906, he was appointed as  Assistant Professor of Philosophy inn the Presidency Collage, Madras and thereafter  he worked as such (having become a professor in 1917) in the Government Collage at Rajahmundry, Madras and Kumbkonm (of then Madras Presidency)from where he retired as principal in 1938. He was conferred upon the title of Rai Bahadur in the   same year.

2) Prof. Chakravarti was well versed in the various schools of western philosophy. He brought his wide learning and deep scholarship to bear upon his study of Jaina philosophy. His introduction to the Pancastikaya(Arrah, 1920) is a valuable exposition of Jaina metaphysics and the path of moksa. In 1937 he delivered Principal Miller Lectures which published under the title ‘Humanism and Indian Thought’ He was a 
stalwart Jaina sravaka of his times in Tamil Nadu. He was specially interested in Jaina Tamil literature on which he had written a monograph in English ( Arrah, 1941). He  has edited a number of Tamil works by Jaina authors with their commentaries and, in some cases, with his learned exposition in English. For instance, Neelakesi, the text and the commentary of Samaya Divakara Muni, along with his elaborate Introduction  in English (Madras 1936); Tirukkural by thevar, along with the Tamil commentary by Kaviraja Pandithar (Bharatiya Jnanpith Tamil Series, No. 1 with an English Introduction) and Tirukkural, with English translation and commentary and an exhaustive Introduction (Madras, 1949). He has also edited the Meru-mandara-puranam In Tamil. His exposition (described by M.S.H. Thompson, in the J.R.A. Society, London, 1925 as ‘an indispensable aid to the study of tirukkuram’) of the Tirukkuram has been hailed both in India and outside as a learned and liberal exposition of the Kural, the Tamil Bible. His ‘Religaon of Ahimsa’ is published by Shri Ratanchand Hirachand, Bombay (1975) It is a learned exposition in English of some aspects of Jainism.  

3) Prof. Chakravarti, as an authority on his subject, contributed a number of essays And articles on Janisim, ahimsa and contemporary thought to various publication such As Cultural Heritage of India Philosophy of the East and West Jaina Gazette, Aryan path Tamil Academy. He wrote both in English and Tamil. Some of his papers are
Reprinted in the Yesterday and Today, Madras, 1946. He was a member of a number of Associations and Institutions in Madras.

4) As a pious Jaina and a deep scholar of  Jainism, he wrote a commentary in  English on the Samayasara of Kundakunda. He mainly follows the Sanskrit commentary of Amrtacandra. Still his exposition of the Samayasara and his evaluation of its contents clearly demonstrate how able he has expounded the principals of Kundakunda to make them intelligible to the modern world. This was published by the Bharatiya Jnanpith, and ascend edition of it is a lately issued.

5) Prof. Chakravarti was a well-wisher of the Jnanpith and he gave two of his work As noted above for publication in the Jnanpith Series. We are thankful to Thiru V. Jaya  Vijiyam, B.E. (33, Pudupet Garden street, Roypeeth Madras) for a bio-data of Prof. Chakravarti. He is the grandson of the late Professor from his daughter Smt. V.C. Jothimala. ",
7,Prof. Count Arnold Keyserling,"🧑‍🎓 Identity & Family Background
i) Born on February 9, 1922 in Hamburg, Germany, and passed away on September 7, 2005 in Matrei am Brenner, Tyrol, Austria. 
ii) Son of Hermann Graf von Keyserling, a prominent Baltic German philosopher, and Maria Gödela von Bismarck-Schönhausen, granddaughter of Chancellor Otto von Bismarck. 

🌱 Philosophical Career & Influence
i) A German philosopher and theologian, Arnold emerged as a key figure in integrating Eastern and Western spiritual and philosophical traditions 
ii) Influenced by George Gurdjieff (whom he met in Paris around 1949), composer Josef Matthias Hauer, and Indian yogi Ramana Maharshi. 

📚 Thought, Teachings & Institutional Engagement
i) Reinvented his father’s legacy by evolving the School of Wisdom into the Schule des Rades (School of the Wheel), which under his leadership applied a planetary-system philosophy synthesizing art, science, spirituality, and mathematics. 
ii) Taught at the Academy of Applied Arts in Vienna, obtaining a professorship in religion philosophy in the early 1970s.

🌍 Activities & Global Outreach
i) Lived in Calcutta (Kolkata), India from 1959 to 1962, immersing himself in Indian spiritual traditions before returning to Austria.
ii) Became one of Europe’s earliest New Age teachers by the late 1960s and, later, a significant presence in humanistic psychology, serving as President of the European Association for Humanistic Psychology (1979–1984).

🛠 Intellectual Work & Legacy
i) Authored 50+ books and thousands of essays, though rarely in mainstream circulation—yet deeply respected among spiritual learners and practitioners.
ii) Key publications (first catalogued in German and later self-published under “Verlag der Palme”) include titles like Geschichte der Denkstile, Weisheit des Rades, Kriterien der Offenbarung.
iii) Developed systemic symbolism frameworks such as the Wheel of Wisdom, combining cosmology, chakras, numbers, music, symbol, and consciousness into philosophical practice.

🎓 Teaching Style & Influence
i) Known for his compelling presence, multilingual fluency, and ability to weave together science, myth, art, and spiritual insight into public workshops, lectures, and guided meditation groups across Europe, North America, and Asia in the 1980s and ’90s.
ii) Blended intellectual rigor with spiritual immediacy—valued not as a conventional academic, but as a sage-like guide for personal and collective wisdom .",
8,William Henry Fox Talbot,"📌 William Henry Fox Talbot – Biography & Achievements
1) Full Name & Dates:
i) Born: February 11, 1800, in Melbury Sampford, Dorset, England
ii) Died: September 17, 1877, at Lacock Abbey, near Chippenham, Wiltshire

2) Professions:
English chemist, linguist, archaeologist, and pioneer photographer.

3) Major Contribution:
i) Developed the calotype (also called talbotype), a significant early photographic process.
ii) The calotype used a paper negative, enabling multiple prints from one image—unlike Daguerre’s daguerreotype, which produced a single image.

4) Historical Significance:
Had Talbot announced his discovery a few weeks earlier, he could have been known as the founder of photography, instead of Louis Daguerre.

5) Education:
i) Educated at Harrow School and Trinity College, Cambridge.
ii) Published research in mathematics, astronomy, and physics.

6) Political Role:
Briefly served as a Member of Parliament (1833–1834).

7) Early Photographic Discoveries:
i) In 1835, he published an article on his “photogenic drawings”, using light-sensitive paper for contact prints.
ii) Early images were dark and spotty.

8) Calotype Development:
i) In 1840, he improved the process—introduced shorter exposure times and post-exposure development.
ii) Patented the calotype process in 1841.
iii) Reluctance to share his process led to personal and professional conflicts.

9) Recognition:
In 1842, awarded a medal by the British Royal Society for his work on the calotype.

10) Key Publication – The Pencil of Nature (1844–46):
i) Published in six installments.
ii) Included 24 photographic plates (of a planned 50), focusing on art objects and architecture.
iii) Includes famous work: “The Haystack”.

11) Later Innovations:
i) In 1851, discovered a method for instantaneous photographs.
ii) Developed “photoglyptic engraving”:
a) Patented in 1852 and 1858.
b) Used steel plates and muslin screens to reproduce middle tones in photographs.
c) Became a precursor to halftone plates used in the 1880s.

📷 Photography – A Broader Overview
1) Definition & Origin:
i) Photography: Recording images using light or radiation on light-sensitive material.
ii) Derived from Greek: photos (""light"") + graphein (""to draw"").
iii) Term used since the 1830s.

2) Immediacy of Photography:
i) Captures an image immediately at exposure.
ii) Creates a latent image (usually reversed/negative), developed and fixed using sodium thiosulfate (hypo).
iii) Processing can occur immediately or be delayed.

3) Uniqueness:
i) Photography is distinguished by its immediacy and accuracy.
ii) Gave rise to the adage: “the camera does not lie”, despite it being not always true.

4) Objectivity vs Creativity:
i) Despite being seen as mechanical, photography allows for artistic intervention:
a) Choice of lens, filters, sensitive material, development methods, and printing techniques.
b) Possibility of creating artificial scenes.

5) Photographer’s Role:
i) The most vital control lies in the creative vision of the photographer:
a) Selection of vantage point, timing, and interpretation of the subject.

6) Photographic Impact:
i) Can record the visible world, extend knowledge, and convey information about humanity and nature.
ii) Often referred to as the most important invention since the printing press.",
9,Mr. Matthew McKay,"Matthew McKay, PhD, is a professor of psychology at the Wright Institute in Berkeley, and author of more than 30 professional psychology and self-help books which have sold a combined total of more than 3 million copies. He is co-founder of independent self-help publisher, New Harbinger Publications. He was the clinical director of Haight Ashbury Psychological Services in San Francisco for twenty five years. He is current director of the Berkeley CBT Clinic. An accomplished novelist and poet, his poetry has appeared in two volumes from Plum Branch Press and in more than sixty literary magazines. His most recent novel, Wawona Hotel, was
published by Boaz Press in 2008.",
